target_pos,target_token_id,soft_ns,soft_nc,dP0,dPR,dPnotR
4,407,0.0,0.0,0.831843912601471,0.831843912601471,0.0
5,3142,0.0,0.0,0.8611344695091248,0.8611344695091248,0.0
6,284,0.0,0.0,0.918552041053772,0.918552041053772,0.0
7,779,0.0,0.0,0.9065069556236267,0.9065069556236267,0.0
8,428,0.0,0.0,0.7961008548736572,0.7961008548736572,0.0
9,2524,0.0,0.0,0.8928326964378357,0.8928326964378357,0.0
10,329,0.0,0.0,0.8717410564422607,0.8717410564422607,0.0
11,597,0.0,0.0,0.9188647270202637,0.9188647270202637,0.0
12,4007,0.0,0.0,0.9390522241592407,0.9390522241592407,0.0
13,584,0.0,0.0,0.9227491021156311,0.9227491021156311,0.0
14,621,0.0,0.0,0.9901413321495056,0.9901413321495056,0.0
15,284,0.0,0.0,0.9236546754837036,0.9236546754837036,0.0
16,1281,0.0,0.0,0.9647254943847656,0.9647254943847656,0.0
17,994,0.0,0.0,0.9252229332923889,0.9252229332923889,0.0
18,13,0.0,0.0,0.9188960194587708,0.9188960194587708,0.0
19,198,0.0,0.0,0.8280152678489685,0.8280152678489685,0.0
