target_pos,target_token_id,soft_ns,soft_nc,dP0,dPR,dPnotR
11,13,0.0,0.0,0.7624852061271667,0.7624852061271667,0.0
12,314,0.0,0.0,0.7558925747871399,0.7558925747871399,0.0
13,1101,0.0,0.0,0.9523633122444153,0.9523633122444153,0.0
14,257,0.0,0.0,0.8780346512794495,0.8780346512794495,0.0
15,4708,0.0,0.0,0.8934961557388306,0.8934961557388306,0.0
16,16413,0.0,0.0,0.9241571426391602,0.9241571426391602,0.0
17,290,0.0,0.0,0.9415563941001892,0.9415563941001892,0.0
18,314,0.0,0.0,0.918718695640564,0.918718695640564,0.0
19,1842,0.0,0.0,0.9801194071769714,0.9801194071769714,0.0
20,284,0.0,0.0,0.9515390396118164,0.9515390396118164,0.0
21,2686,0.0,0.0,0.986929714679718,0.986929714679718,0.0
22,13,0.0,0.0,0.9469521045684814,0.9469521045684814,0.0
23,314,0.0,0.0,0.8525646328926086,0.8525646328926086,0.0
24,1101,0.0,0.0,0.9827563166618347,0.9827563166618347,0.0
25,257,0.0,0.0,0.955827534198761,0.955827534198761,0.0
26,1263,0.0,0.0,0.9389455318450928,0.9389455318450928,0.0
